# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles:P'
# Event count (approx.): 31383414128
#
# Overhead  Command      Shared Object                                   Symbol                                            
# ........  ...........  ..............................................  ..................................................
#
    11.75%  snf-capture  [kernel.kallsyms]                               [k] entry_SYSRETQ_unsafe_stack
            |          
            |--0.64%--0x7f798ce28824
            |          
             --0.58%--0x7f798ce1ea20

     3.75%  snf-capture  snuffles                                        [.] dissect_packet
            |          
             --0.58%--entry_SYSCALL_64
                       0x7f798ce609ee
                       capture_callback
                       0x7f798d0b3527

     2.28%  snf-capture  [kernel.kallsyms]                               [k] pipe_write
     2.06%  snf-capture  [kernel.kallsyms]                               [k] vfs_write
     1.56%  snf-capture  [kernel.kallsyms]                               [k] srso_alias_untrain_ret
     1.27%  snf-capture  [kernel.kallsyms]                               [k] entry_SYSCALL_64
     1.25%  snf-capture  [kernel.kallsyms]                               [k] do_syscall_64
     1.23%  snf-capture  [kernel.kallsyms]                               [k] srso_alias_safe_ret
     1.19%  snf-capture  snuffles                                        [.] capture_callback
     1.16%  snf-capture  snuffles                                        [.] session_table_update
     1.05%  snf-capture  [kernel.kallsyms]                               [k] fdget_pos
     1.05%  snf-capture  [kernel.kallsyms]                               [k] ksys_write
     1.00%  snf-capture  [kernel.kallsyms]                               [k] security_file_permission
     0.94%  snf-capture  [kernel.kallsyms]                               [k] srso_alias_return_thunk
     0.90%  snf-capture  libc.so.6                                       [.] snprintf
     0.87%  snf-capture  [kernel.kallsyms]                               [k] entry_SYSCALL_64_after_hwframe
     0.85%  snf-capture  [kernel.kallsyms]                               [k] syscall_exit_to_user_mode
     0.79%  snf-capture  libpcap.so.1.10.5                               [.] 0x0000000000009527
     0.75%  snf-capture  libc.so.6                                       [.] 0x000000000009a9ee
     0.72%  snf-capture  snuffles                                        [.] ringbuf_producer_commit
     0.70%  snf-capture  libc.so.6                                       [.] 0x0000000000062cff
     0.69%  snf-capture  [kernel.kallsyms]                               [k] aa_file_perm
     0.69%  snf-capture  snuffles                                        [.] key_hash
     0.69%  snf-capture  [kernel.kallsyms]                               [k] __memset
     0.64%  snf-capture  libc.so.6                                       [.] 0x000000000005a35a
     0.64%  snf-capture  [kernel.kallsyms]                               [k] kernfs_iop_permission
     0.63%  snf-capture  snuffles                                        [.] dissect_ipv4.isra.0
     0.59%  snf-capture  snuffles                                        [.] dissect_udp.isra.0
     0.59%  snf-capture  libc.so.6                                       [.] write
     0.57%  snf-capture  [kernel.kallsyms]                               [k] arch_exit_to_user_mode_prepare.isra.0
