name,build,mode,traffic_kind,pkt_size,status,sent_pps,sent_total,captured_total,captured_pps,kdrop_total,kdrop_pct,ifdrop,missed,emitted,syslog_sent,syslog_fail,syslog_delivered,streamed,sessions_final,loss_pct_total,rss_max_kb,cpu_capture_pct,cpu_main_pct,cpu_stats_pct,ctxsw_per_s,syscalls_per_pkt,ipc,exit_latency_ms,exit_code,killed,softnet_dropped_delta,softnet_squeezed_delta,br0_rx_pkts_delta,packet_socket_drops,window_secs,telemetry_samples_win,offered_pps_win,captured_win,kdrop_win,kdrop_pct_win,cpu_total_pct,perf_cpus_utilized,perf_stat_secs,perf_stat_window_pkts,perf_syscalls,perf_syscalls_write,perf_syscalls_getsockopt,perf_ctxsw_per_s,sent_datagrams,frames_per_datagram,bridge_in_pkts_total,br0_rx_pkts_total,gens_in_pkts_total,gens_out_pkts_total,sink_in_pkts_total,sink_out_pkts_total,veth_dropped_total,seen_pct,sent_vs_bridge_pct,syslog_delivery_pct,syslog_rcvbuf_errors,syslog_in_errors,host_loadavg1_max,kdrop_source
A1-pktgen64-1cpu,pcap,quiet,pktgen,64,ok,429454,12989895,12978199,429563.2,11696,0.09,0,0,0,0,0,,0,1,0.09,645664,71.4,0.0,0.0,251.0,,,476,0,False,0,0,12025616,0,29.083,29,429563.2,12039368,0,0.0,71.4,,,,,,,,,,12989895,12989895,12989895,0,12989895,0,0,100.0,100.0,,,,7.08,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
A10-pktgen64-8cpu-rps,pcap,quiet,pktgen,64,ok,1886795,57351611,10914644,353147.1,2416147,18.1246,0,0,0,0,0,,0,4,80.9689,645524,98.62,0.0,0.0,35.1,,,1032,0,False,307181478,0,52176065,0,29.104,29,419920.2,9900480,1871983,15.9014,98.69,,,,,,,,,,57351611,57351611,57351611,0,13330866,0,333320532,23.244,100.0,,,,6.17,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
A11-pktgen64-8cpu-dstsut,pcap,quiet,pktgen,64,ok,4710929,142971066,17994864,591992.1,124976202,87.4136,0,0,0,0,0,,0,4,87.4136,647444,99.86,0.0,0.0,70.7,,,82,0,False,0,0,131927552,0,29.085,29,4711654.5,16591170,115457659,87.4356,99.86,,,,,,,,,,142971066,142971066,142971066,0,0,0,0,100.0,100.0,,,,7.26,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
A12-pktgen64-8cpu-p1,pcap,quiet,pktgen,64,ok,3304753,100270208,18150272,598302.8,82119936,81.8986,0,0,0,0,0,,0,1,81.8986,647656,99.96,0.0,0.0,19.3,,,463,0,False,0,0,0,0,29.085,30,3304771.1,16768034,75851481,81.8958,99.99,,,,,,,,,,100270208,0,100270208,0,100270208,0,0,100.0,100.0,,,,7.81,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
A13-raw-pktgen64-1cpu,raw,quiet,pktgen,64,ok,425492,12862013,12799840,423973.6,62173,0.4834,0,0,0,0,0,,0,1,0.4834,643104,98.76,0.0,0.0,6466.1,,,416,0,False,0,0,12333822,62173,29.087,30,425174.6,11882707,33661,0.2825,98.76,,,,,,,,,,12862013,12862013,12862013,0,12862013,0,0,100.0,100.0,,,,7.34,PACKET_STATISTICS tp_drops (== ss sk_drops)
A14-pktgen64-8cpu-bpf-hit,pcap,quiet,pktgen,64,ok,2708651,82170470,18190049,598093.1,63980421,77.863,0,0,0,0,0,,0,4,77.863,647604,99.96,0.0,0.0,22.8,,,107,0,False,0,0,75851144,0,29.083,29,2708940.9,16762158,59158619,77.9215,99.93,,,,,,,,,,82170470,82170470,82170470,0,82170470,0,0,100.0,100.0,,,,7.01,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
A15-pktgen64-8cpu-bpf-miss,pcap,quiet,pktgen,64,ok,2839746,86210146,0,0.0,0,0.0,0,0,0,0,0,,0,0,100.0,8676,0.0,0.0,0.0,6.0,,,156,0,False,0,0,79525141,0,29.083,29,0.0,0,0,0.0,0.0,,,,,,,,,,86210146,86210146,86210146,0,86210146,0,0,0.0,100.0,,,,7.52,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
A2-pktgen64-8cpu-max,pcap,quiet,pktgen,64,ok,2802664,85170088,18093986,594775.1,67076102,78.7555,0,0,0,0,0,,0,4,78.7555,647696,99.95,0.0,0.0,21.5,1.01148,1.763,1024,0,False,0,0,78485924,0,29.123,29,2802828.8,16668571,61880705,78.7795,99.91,1.0,10.001357527,5682649,5747913,5659483,88430,21.0,,,85170088,85170088,85170088,0,85170088,0,0,100.0,100.0,,,,6.74,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
A3a-pktgen64-8cpu-ratep-100k,pcap,quiet,pktgen,64,ok,99990,2029284,2029284,99998.9,0,0.0,0,0,0,0,0,,0,4,0.0,645608,17.73,0.0,0.0,66.2,,,152,0,False,0,0,1799821,0,19.057,19,99998.9,1801580,0,0.0,17.67,,,,,,,,,,2029284,2029284,2029284,0,2029284,0,0,100.0,100.0,,,,7.17,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
A3b-pktgen64-8cpu-ratep-250k,pcap,quiet,pktgen,64,ok,249979,5076147,5076147,250031.2,0,0.0,0,0,0,0,0,,0,4,0.0,647508,46.06,0.0,0.0,157.6,,,129,0,False,0,0,4499696,0,19.058,19,250031.2,4504812,0,0.0,46.01,,,,,,,,,,5076147,5076147,5076147,0,5076147,0,0,100.0,100.0,,,,6.97,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
