# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:P'
# Event count (approx.): 19478654369
#
# Overhead  Command      Shared Object                                   Symbol                                            
# ........  ...........  ..............................................  ..................................................
#
    11.61%  snf-capture  [kernel.kallsyms]                               [k] entry_SYSRETQ_unsafe_stack
            |          
            |--0.63%--0x7f277a6e4824
            |          
             --0.54%--0x7f277a7e6f35

     3.40%  snf-capture  snuffles                                        [.] dissect_packet
     2.03%  snf-capture  [kernel.kallsyms]                               [k] pipe_write
     1.45%  snf-capture  [kernel.kallsyms]                               [k] vfs_write
     1.26%  snf-capture  snuffles                                        [.] session_table_update
     1.26%  snf-capture  [kernel.kallsyms]                               [k] srso_alias_untrain_ret
     1.25%  snf-capture  [kernel.kallsyms]                               [k] do_syscall_64
     1.24%  snf-capture  [kernel.kallsyms]                               [k] ksys_write
     1.20%  snf-capture  [kernel.kallsyms]                               [k] entry_SYSCALL_64
     1.19%  snf-capture  [kernel.kallsyms]                               [k] srso_alias_safe_ret
     1.18%  snf-capture  [kernel.kallsyms]                               [k] fdget_pos
     1.03%  snf-capture  [kernel.kallsyms]                               [k] syscall_exit_to_user_mode
     1.00%  snf-capture  libc.so.6                                       [.] snprintf
     0.95%  snf-capture  snuffles                                        [.] capture_callback
     0.93%  snf-capture  [kernel.kallsyms]                               [k] aa_file_perm
     0.91%  snf-capture  [kernel.kallsyms]                               [k] srso_alias_return_thunk
     0.73%  snf-capture  libc.so.6                                       [.] 0x000000000006260a
     0.71%  snf-capture  [kernel.kallsyms]                               [k] kernfs_iop_permission
     0.67%  snf-capture  [kernel.kallsyms]                               [k] security_file_permission
     0.67%  snf-capture  libc.so.6                                       [.] 0x0000000000062cff
     0.65%  snf-capture  [kernel.kallsyms]                               [k] entry_SYSCALL_64_after_hwframe
     0.65%  snf-capture  libc.so.6                                       [.] 0x000000000009a9ee
     0.63%  snf-capture  snuffles                                        [.] key_hash
     0.63%  snf-capture  [kernel.kallsyms]                               [k] arch_exit_to_user_mode_prepare.isra.0
     0.63%  snf-capture  libpcap.so.1.10.5                               [.] 0x0000000000009527
     0.61%  snf-capture  snuffles                                        [.] dissect_ipv4.isra.0
     0.61%  snf-capture  libc.so.6                                       [.] 0x000000000006260c
     0.59%  snf-capture  snuffles                                        [.] dissect_udp.isra.0
     0.59%  snf-capture  [kernel.kallsyms]                               [k] rw_verify_area
     0.57%  snf-capture  snuffles                                        [.] ringbuf_producer_commit
     0.57%  snf-capture  libc.so.6                                       [.] 0x000000000005a2f3
     0.55%  snf-capture  libc.so.6                                       [.] 0x0000000000162b86
     0.55%  snf-capture  libc.so.6                                       [.] 0x000000000006260e
     0.53%  snf-capture  libc.so.6                                       [.] memcpy@plt
     0.51%  snf-capture  [kernel.kallsyms]                               [k] __memset
     0.48%  snf-capture  [kernel.kallsyms]                               [k] link_path_walk.part.0.constprop.0
     0.45%  snf-capture  libc.so.6                                       [.] 0x0000000000162b70
     0.45%  snf-capture  libc.so.6                                       [.] 0x0000000000162b7a
     0.43%  snf-capture  libc.so.6                                       [.] 0x00000000000635dd
     0.42%  snf-capture  [kernel.kallsyms]                               [k] kernfs_dop_revalidate
     0.41%  snf-capture  libc.so.6                                       [.] pthread_mutex_lock
     0.41%  snf-capture  libc.so.6                                       [.] 0x000000000005a2c4
     0.41%  snf-capture  libpcap.so.1.10.5                               [.] 0x00000000000099de
