name,build,mode,traffic_kind,pkt_size,status,sent_pps,sent_total,captured_total,captured_pps,kdrop_total,kdrop_pct,ifdrop,missed,emitted,syslog_sent,syslog_fail,syslog_delivered,streamed,sessions_final,loss_pct_total,rss_max_kb,cpu_capture_pct,cpu_main_pct,cpu_stats_pct,ctxsw_per_s,syscalls_per_pkt,ipc,exit_latency_ms,exit_code,killed,softnet_dropped_delta,softnet_squeezed_delta,br0_rx_pkts_delta,packet_socket_drops,window_secs,telemetry_samples_win,offered_pps_win,captured_win,kdrop_win,kdrop_pct_win,cpu_total_pct,perf_cpus_utilized,perf_stat_secs,perf_stat_window_pkts,perf_syscalls,perf_syscalls_write,perf_syscalls_getsockopt,perf_ctxsw_per_s,sent_datagrams,frames_per_datagram,bridge_in_pkts_total,br0_rx_pkts_total,gens_in_pkts_total,gens_out_pkts_total,sink_in_pkts_total,sink_out_pkts_total,veth_dropped_total,seen_pct,sent_vs_bridge_pct,syslog_delivery_pct,syslog_rcvbuf_errors,syslog_in_errors,host_loadavg1_max,kdrop_source
A1-pktgen64-1cpu,pcap,quiet,pktgen,64,ok,429732,5248898,5236534,429961.4,12364,0.2356,0,0,0,0,0,,0,1,0.2356,645424,72.3,0.0,0.0,258.8,,,524,0,False,0,0,4301025,0,11.038,11,429961.4,4303914,0,0.0,72.4,,,,,,,,,,5248898,5248898,5248898,0,5248898,0,0,100.0,100.0,,,,2.65,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
A2-pktgen64-8cpu-max,pcap,quiet,pktgen,64,ok,2803544,34598993,6510176,539538.7,28088817,81.1839,0,0,0,0,0,,0,4,81.1839,645536,99.98,0.0,0.0,19.3,0.93617,1.555,992,0,False,0,0,28040967,0,11.074,11,2802896.0,5400243,22653943,80.7507,99.88,1.0,4.001488898,2166719,2028417,1997211,31206,20.7,,,34598993,34598993,34598993,0,34598993,0,0,100.0,100.0,,,,3.67,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
A9-raw-pktgen64-8cpu-max,raw,quiet,pktgen,64,ok,2828239,34868221,4924725,398161.4,29943496,85.8762,0,0,0,0,0,,0,4,85.8762,644976,99.97,0.0,0.0,21.2,1.98467,1.326,1042,0,False,0,0,28291896,29943496,11.068,11,2828569.4,3985596,24328384,85.9236,99.97,0.999,4.001406693,1531915,3040339,1519985,371,20.0,,,34868221,34868221,34868221,0,34868221,0,0,100.0,100.0,,,,3.9,PACKET_STATISTICS tp_drops (== ss sk_drops)
B3-syslog-1m,pcap,syslog,pktgen,64,ok,999871,12378791,1898124,153576.0,10480667,84.6663,0,0,0,1898124,0,1898124,0,0,84.6663,4976,99.94,0.0,0.0,49.1,2.01843,0.99,972,0,False,0,0,9997733,0,11.08,11,999908.7,1537142,8470944,84.641,99.94,0.999,4.001411933,608726,1228671,609575,9525,49.2,,,12378791,12378791,12378791,0,12378791,0,0,100.0,100.0,100.0,0,0,5.68,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
B6-tui-1m,pcap,tui,pktgen,64,ok,999876,12338916,4955494,402787.4,7383422,59.8385,0,0,0,0,0,,0,4,59.8385,647600,99.97,98.07,0.0,247.9,1.03713,1.608,986,0,False,0,0,10001583,0,11.076,11,1000047.4,4031902,5978572,59.7232,197.75,1.983,4.001639343,1563338,1621378,1597274,24104,182.2,,,12338916,12338916,12338916,0,12338916,0,0,100.0,100.0,,,,6.37,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
B7-tuisessions-flows1m,pcap,tui-sessions,pktgen,64,ok,999877,12336915,1313317,95831.9,11023598,89.3546,0,0,0,0,0,,0,100000,89.3546,695156,55.3,97.7,0.0,6470.1,,,3133,0,False,0,0,10001312,0,11.039,11,1000076.5,961002,9067765,90.4175,153.0,,,,,,,,,,12336915,12336915,12336915,0,12336915,0,0,100.0,100.0,,,,6.13,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
B8-headlesspipe-1m,pcap,headless-pipe,pktgen,64,ok,999898,12331170,5390476,441123.2,6940694,56.2858,0,33100,5357376,0,0,,0,4,56.2858,645568,99.89,96.19,0.0,2865.5,,,71,0,False,0,0,10000434,0,11.038,11,1000005.8,4415202,5593856,55.8879,196.18,,,,,,,,,,12331170,12331170,12331170,0,12331170,0,0,100.0,100.0,,,,7.53,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
C1-http-keepalive,pcap,quiet,http,64,ok,,,2453812,204003.0,3038,0.1237,0,0,0,0,0,,0,1028,,662284,44.19,0.0,0.0,284.5,1.01829,1.736,813,0,False,0,0,2243978,0,12.095,12,204003.0,2246073,0,0.0,44.28,0.461,4.001340758,806838,821599,807640,12885,282.9,,1,2456850,2456850,1229680,1227170,1229680,1227170,0,100.0,,,,,7.17,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
C4-iperf-tcp,pcap,quiet,iperf,64,ok,,,1231794,103323.1,194593,13.6424,0,0,0,0,0,,0,36,,648976,98.39,0.0,0.0,306.9,1.01805,0.503,757,0,False,0,0,1177235,0,11.137,11,117607.2,1034264,142984,12.1456,98.39,0.994,4.002878673,398343,405533,397091,7742,184.4,,1,1426387,1426387,1046764,379623,1046764,379623,0,100.0,,,,,10.39,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
C5-replay-quiet,pcap,quiet,replay,64,ok,792879.4000000001,9368633,5890384,501242.0,5832866,49.7547,0,0,0,0,0,,0,8778,37.1265,652300,99.63,0.0,0.0,23.7,,,947,0,False,0,0,10909650,0,12.06,12,991677.8,5519176,5400188,49.4552,99.63,,,,,,,,9368633,1,11723250,11723250,10134074,4312091,6500448,1589176,0,100.0,92.447,,,,9.19,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
C6-synflood-quiet,pcap,quiet,synflood,64,ok,76941.0,926016,2274307,186444.8,37321,1.6145,0,0,0,0,0,,0,100000,-145.6013,670640,73.73,0.0,0.0,124.3,0.97778,0.946,835,0,False,0,0,2031576,0,12.091,12,189834.5,2052757,37321,1.7856,73.73,0.756,4.001605782,716659,700737,689561,10912,130.2,926016,1,2311633,2311633,940842,1415251,940842,1370791,0,100.0,98.424,,,,4.58,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
C8-frag-quiet,pcap,quiet,frag,64,ok,2099560.5,25203648,6344831,526725.4,18859591,74.8265,0,0,0,0,0,,0,355,74.8257,645596,99.92,0.0,0.0,21.2,,,925,0,False,0,0,21035564,0,11.058,11,2103971.8,5271468,15785082,74.9652,99.92,,,,,,,,8401216,3,25204448,25204448,25203674,816,25203674,774,0,100.0,100.0,,,,7.12,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
