# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles:P'
# Event count (approx.): 31351689649
#
# Overhead  Command      Shared Object      Symbol                                   
# ........  ...........  .................  .........................................
#
     2.41%  snf-capture  [kernel.kallsyms]  [k] udp_sendmsg
     2.36%  snf-capture  [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     2.26%  snf-capture  [kernel.kallsyms]  [k] srso_alias_safe_ret
     2.26%  snf-capture  [kernel.kallsyms]  [k] fib_table_lookup
     1.90%  snf-capture  [kernel.kallsyms]  [k] ip_route_input_slow
     1.82%  snf-capture  [kernel.kallsyms]  [k] __ip_make_skb
     1.70%  snf-capture  [kernel.kallsyms]  [k] __fib_validate_source
     1.61%  snf-capture  [kernel.kallsyms]  [k] __dev_queue_xmit
     1.49%  snf-capture  [kernel.kallsyms]  [k] ip_route_output_key_hash_rcu
     1.48%  snf-capture  [kernel.kallsyms]  [k] srso_alias_return_thunk
     1.34%  snf-capture  [kernel.kallsyms]  [k] net_rx_action
     1.18%  snf-capture  [kernel.kallsyms]  [k] process_backlog
     1.18%  snf-capture  [kernel.kallsyms]  [k] __netif_receive_skb_core.constprop.0
     1.17%  snf-capture  [kernel.kallsyms]  [k] kmem_cache_alloc_node_noprof
     1.14%  snf-capture  [kernel.kallsyms]  [k] __ip_append_data
     1.04%  snf-capture  [kernel.kallsyms]  [k] ip_output
     1.01%  snf-capture  [kernel.kallsyms]  [k] ___sys_sendmsg
     1.01%  snf-capture  [kernel.kallsyms]  [k] __memset
     1.01%  snf-capture  [kernel.kallsyms]  [k] __alloc_skb
     1.00%  snf-capture  [kernel.kallsyms]  [k] __skb_flow_dissect
     0.93%  snf-capture  snuffles           [.] dissect_packet
     0.93%  snf-capture  [kernel.kallsyms]  [k] enqueue_to_backlog
     0.91%  snf-capture  [kernel.kallsyms]  [k] udp_queue_rcv_one_skb
     0.90%  snf-capture  [kernel.kallsyms]  [k] ip_finish_output2
     0.89%  snf-capture  [kernel.kallsyms]  [k] _copy_from_user
     0.89%  snf-capture  [kernel.kallsyms]  [k] veth_xmit
     0.87%  snf-capture  [kernel.kallsyms]  [k] __check_object_size
     0.86%  snf-capture  [kernel.kallsyms]  [k] _copy_from_iter
     0.85%  snf-capture  [kernel.kallsyms]  [k] __udp4_lib_rcv
     0.79%  snf-capture  [kernel.kallsyms]  [k] copy_msghdr_from_user
     0.75%  snf-capture  [kernel.kallsyms]  [k] ____sys_sendmsg
     0.74%  snf-capture  [kernel.kallsyms]  [k] ip_rcv
     0.73%  snf-capture  [kernel.kallsyms]  [k] ip_rcv_finish_core.isra.0
     0.68%  snf-capture  [kernel.kallsyms]  [k] ip_send_skb
     0.68%  snf-capture  [kernel.kallsyms]  [k] ip_route_input_noref
     0.67%  snf-capture  [kernel.kallsyms]  [k] packet_rcv
     0.65%  snf-capture  [kernel.kallsyms]  [k] __skb_get_hash_net
     0.65%  snf-capture  [kernel.kallsyms]  [k] sock_wfree
     0.64%  snf-capture  [kernel.kallsyms]  [k] validate_xmit_skb
     0.64%  snf-capture  [kernel.kallsyms]  [k] handle_softirqs
     0.62%  snf-capture  [kernel.kallsyms]  [k] __ip_local_out
     0.61%  snf-capture  [kernel.kallsyms]  [k] ip_make_skb
     0.60%  snf-capture  [kernel.kallsyms]  [k] ip_route_output_flow
     0.60%  snf-capture  [kernel.kallsyms]  [k] __udp_enqueue_schedule_skb
     0.60%  snf-capture  [kernel.kallsyms]  [k] ipv4_mtu
     0.60%  snf-capture  [kernel.kallsyms]  [k] __udp4_lib_lookup
     0.59%  snf-capture  [kernel.kallsyms]  [k] ip_skb_dst_mtu
     0.59%  snf-capture  [kernel.kallsyms]  [k] __rcu_read_unlock
     0.58%  snf-capture  [kernel.kallsyms]  [k] __siphash_unaligned
     0.56%  snf-capture  [kernel.kallsyms]  [k] __sys_sendmmsg
     0.56%  snf-capture  [kernel.kallsyms]  [k] ip_rcv_core
     0.56%  snf-capture  [kernel.kallsyms]  [k] sk_filter_trim_cap
     0.55%  snf-capture  [kernel.kallsyms]  [k] try_to_wake_up
     0.53%  snf-capture  [kernel.kallsyms]  [k] sock_alloc_send_pskb
     0.53%  snf-capture  [kernel.kallsyms]  [k] ip_local_deliver
     0.51%  snf-capture  [kernel.kallsyms]  [k] netdev_pick_tx
     0.50%  snf-capture  [kernel.kallsyms]  [k] udp_send_skb
     0.50%  snf-capture  [kernel.kallsyms]  [k] __rcu_read_lock
     0.47%  snf-capture  [kernel.kallsyms]  [k] __import_iovec
     0.46%  snf-capture  [kernel.kallsyms]  [k] read_tsc
     0.44%  snf-capture  [kernel.kallsyms]  [k] do_softirq.part.0
     0.43%  snf-capture  [kernel.kallsyms]  [k] __put_user_4
     0.43%  snf-capture  [kernel.kallsyms]  [k] raw_local_deliver
     0.43%  snf-capture  [kernel.kallsyms]  [k] fib_select_path
     0.42%  snf-capture  [kernel.kallsyms]  [k] move_addr_to_kernel
     0.41%  snf-capture  [kernel.kallsyms]  [k] copy_iovec_from_user
     0.41%  snf-capture  [kernel.kallsyms]  [k] udp4_lib_lookup2
     0.41%  snf-capture  [kernel.kallsyms]  [k] netif_skb_features
     0.40%  snf-capture  libc.so.6          [.] 0x000000000005a2f3
     0.40%  snf-capture  [kernel.kallsyms]  [k] kmalloc_reserve
     0.39%  snf-capture  [kernel.kallsyms]  [k] ip_local_deliver_finish
     0.37%  snf-capture  libc.so.6          [.] 0x000000000005a35a
     0.37%  snf-capture  [kernel.kallsyms]  [k] __ip_select_ident
     0.35%  snf-capture  [kernel.kallsyms]  [k] select_task_rq_fair
     0.35%  snf-capture  [kernel.kallsyms]  [k] __dev_forward_skb2
     0.35%  snf-capture  [kernel.kallsyms]  [k] ip_setup_cork.constprop.0
     0.34%  snf-capture  [kernel.kallsyms]  [k] siphash_3u32
     0.34%  snf-capture  libc.so.6          [.] memcpy@plt
     0.33%  snf-capture  [kernel.kallsyms]  [k] ip_protocol_deliver_rcu
     0.33%  snf-capture  [kernel.kallsyms]  [k] netif_rx_internal
     0.31%  snf-capture  libc.so.6          [.] 0x0000000000062cff
     0.31%  snf-capture  [kernel.kallsyms]  [k] security_sock_rcv_skb
     0.29%  snf-capture  snuffles           [.] capture_callback
     0.29%  snf-capture  libc.so.6          [.] snprintf
     0.29%  snf-capture  [kernel.kallsyms]  [k] sock_def_readable
     0.29%  snf-capture  [kernel.kallsyms]  [k] xfrm_lookup_with_ifid
     0.28%  snf-capture  [kernel.kallsyms]  [k] apparmor_ip_postroute
     0.28%  snf-capture  [kernel.kallsyms]  [k] pollwake
     0.28%  snf-capture  [kernel.kallsyms]  [k] dev_hard_start_xmit
     0.27%  snf-capture  libc.so.6          [.] 0x0000000000162b40
     0.27%  snf-capture  [kernel.kallsyms]  [k] __netif_receive_skb_one_core
     0.26%  snf-capture  [kernel.kallsyms]  [k] _raw_spin_lock_irq
     0.26%  snf-capture  libc.so.6          [.] 0x0000000000162b70
     0.26%  snf-capture  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.25%  snf-capture  [kernel.kallsyms]  [k] ip_generic_getfrag
     0.25%  snf-capture  libc.so.6          [.] 0x0000000000062971
     0.25%  snf-capture  [kernel.kallsyms]  [k] nf_hook_slow
     0.24%  snf-capture  [kernel.kallsyms]  [k] udp_v4_early_demux
     0.24%  snf-capture  libc.so.6          [.] 0x000000000005a30a
     0.23%  snf-capture  [kernel.kallsyms]  [k] eth_type_trans
     0.23%  snf-capture  [kernel.kallsyms]  [k] make_kuid
     0.23%  snf-capture  libc.so.6          [.] 0x00000000000626f9
     0.23%  snf-capture  libc.so.6          [.] 0x000000000005a2b3
     0.23%  snf-capture  [kernel.kallsyms]  [k] skb_set_owner_w
     0.23%  snf-capture  [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore
     0.22%  snf-capture  [kernel.kallsyms]  [k] __virt_addr_valid
     0.21%  snf-capture  snuffles           [.] dissect_ipv4.isra.0
     0.21%  snf-capture  libc.so.6          [.] 0x0000000000162b7f
     0.21%  snf-capture  libc.so.6          [.] 0x0000000000162b7a
