name,build,mode,traffic_kind,pkt_size,status,sent_pps,sent_total,captured_total,captured_pps,kdrop_total,kdrop_pct,ifdrop,missed,emitted,syslog_sent,syslog_fail,syslog_delivered,streamed,sessions_final,loss_pct_total,rss_max_kb,cpu_capture_pct,cpu_main_pct,cpu_stats_pct,ctxsw_per_s,syscalls_per_pkt,ipc,exit_latency_ms,exit_code,killed,softnet_dropped_delta,softnet_squeezed_delta,br0_rx_pkts_delta,packet_socket_drops,window_secs,telemetry_samples_win,offered_pps_win,captured_win,kdrop_win,kdrop_pct_win,cpu_total_pct,perf_cpus_utilized,perf_stat_secs,perf_stat_window_pkts,perf_syscalls,perf_syscalls_write,perf_syscalls_getsockopt,perf_ctxsw_per_s,sent_datagrams,frames_per_datagram,bridge_in_pkts_total,br0_rx_pkts_total,gens_in_pkts_total,gens_out_pkts_total,sink_in_pkts_total,sink_out_pkts_total,veth_dropped_total,seen_pct,sent_vs_bridge_pct,syslog_delivery_pct,syslog_rcvbuf_errors,syslog_in_errors,host_loadavg1_max,kdrop_source
A1-pktgen64-1cpu,pcap,quiet,pktgen,64,ok,427144,12917058,12917058,427109.6,0,0.0,0,0,0,0,0,,0,1,0.0,710868,35.21,0.04,0.0,265.6,,,440,0,False,0,0,11960361,0,29.091,29,427109.6,11971456,0,0.0,35.25,,,,,,,,,,12917058,12917058,12917058,0,12917058,0,0,100.0,100.0,,,,6.55,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
A13-raw-pktgen64-1cpu,raw,quiet,pktgen,64,ok,419976,12699791,12699791,420745.7,0,0.0,0,0,0,0,0,,0,1,0.0,648912,97.18,0.0,0.0,15316.8,,,391,0,False,0,0,11783360,0,29.087,29,420745.7,11791818,0,0.0,97.18,,,,,,,,,,12699791,12699791,12699791,0,12699791,0,0,100.0,100.0,,,,8.44,PACKET_STATISTICS tp_drops (== ss sk_drops)
A2-pktgen64-8cpu-max,pcap,quiet,pktgen,64,ok,2719478,82699403,35525082,1158424.3,47174321,57.0431,0,0,0,0,0,,0,4,57.0431,711180,99.83,0.04,0.0,44.9,0.0,3.069,953,0,False,0,0,76185602,0,29.148,29,2717563.6,32464840,43694880,57.3727,99.87,1.0,10.001445684,12103726,50,10,40,16.8,,,82699403,82699403,82699403,0,82699403,0,0,100.0,100.0,,,,6.67,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
A3d-pktgen64-8cpu-ratep-1m,pcap,quiet,pktgen,64,ok,999905,20385343,20385343,1000257.5,0,0.0,0,0,0,0,0,,0,4,0.0,708960,88.05,0.06,0.0,355.7,,,1036,0,False,0,0,18001056,0,19.066,19,1000257.5,18020639,0,0.0,88.05,,,,,,,,,,20385343,20385343,20385343,0,20385343,0,0,100.0,100.0,,,,7.66,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
A9-raw-pktgen64-8cpu-max,raw,quiet,pktgen,64,ok,2818379,85798379,17836056,581427.7,67962323,79.2117,0,0,0,0,0,,0,4,79.2117,648980,99.86,0.0,0.0,46.2,0.00024,1.889,887,0,False,0,0,78943912,67962323,29.131,29,2818729.0,16296256,62707080,79.3727,99.89,0.999,10.001400301,6248185,1528,10,1518,57.7,,,85798379,85798379,85798379,0,85798379,0,0,100.0,100.0,,,,8.74,PACKET_STATISTICS tp_drops (== ss sk_drops)
B1-headless-1m,pcap,headless,pktgen,64,ok,999967,29374772,26698505,893717.1,2676267,9.1108,0,0,26698505,0,0,,0,4,9.1108,709824,99.74,98.48,0.0,2270.7,,,1059,0,False,0,0,26999514,0,28.099,28,990547.6,24158960,2617522,9.7755,198.19,,,,,,,,,,29374772,29374772,29374772,0,29374772,0,0,100.0,100.0,,,,8.51,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
B1x-headless-max,pcap,headless,pktgen,64,ok,2755711,83781323,27353576,887306.1,56427747,67.3512,0,0,27353576,0,0,,0,4,67.3512,711436,99.78,98.85,0.0,1416.3,,,1050,0,False,0,0,77208347,0,29.097,29,2757433.7,24868527,52414066,67.8213,198.6,,,,,,,,,,83781323,83781323,83781323,0,83781323,0,0,100.0,100.0,,,,9.55,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
B2-jsonl-1m,pcap,jsonl,pktgen,64,ok,999942,30416685,28306738,916108.1,2109947,6.9368,0,0,28306738,0,0,,0,4,6.9368,711908,99.48,98.94,0.0,1037.0,,,1041,0,False,0,0,27998000,0,29.101,29,987452.0,25678511,1999768,7.225,198.49,,,,,,,,,,30416685,30416685,30416685,0,30416685,0,0,100.0,100.0,,,,9.59,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
B3-syslog-1m,pcap,syslog,pktgen,64,ok,999945,30424544,6858072,209590.9,23566472,77.4588,0,0,0,6858072,0,6858072,0,0,77.4588,68400,99.77,0.04,0.0,79.7,2e-05,1.209,944,0,False,0,0,28002277,0,29.141,29,998101.1,5873786,22097997,79.001,99.77,0.998,10.001327869,2118423,49,10,39,82.9,,,30424544,30424544,30424544,0,30424544,0,0,100.0,100.0,100.0,0,0,9.83,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
B3x-syslog-max,pcap,syslog,pktgen,64,ok,2833470,86062798,7071911,219511.4,78990887,91.7828,0,0,0,7071911,0,7071911,0,0,91.7828,68280,99.82,0.0,0.0,87.5,,,1045,0,False,0,0,79389890,0,29.091,29,2829579.0,6151587,73144536,92.2423,99.82,,,,,,,,,,86062798,86062798,86062798,0,86062798,0,0,100.0,100.0,100.0,0,0,9.73,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
