# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles:P'
# Event count (approx.): 31314262480
#
# Overhead  Command      Shared Object                                   Symbol                                            
# ........  ...........  ..............................................  ..................................................
#
     4.01%  snf-capture  snuffles                                        [.] dissect_packet
            |          
             --0.83%--dissect_packet
                       |          
                        --0.80%--capture_callback
                                  0x7fba0cfd5527

     1.95%  snf-capture  snuffles                                        [.] session_table_update
     1.50%  snf-capture  [kernel.kallsyms]                               [k] entry_SYSRETQ_unsafe_stack
     1.31%  snf-capture  libc.so.6                                       [.] snprintf
     1.13%  snf-capture  [kernel.kallsyms]                               [k] kernfs_iop_permission
     0.98%  snf-capture  snuffles                                        [.] key_hash
     0.93%  snf-capture  libc.so.6                                       [.] 0x0000000000062cff
     0.91%  snf-capture  libc.so.6                                       [.] 0x000000000005a35a
     0.90%  snf-capture  snuffles                                        [.] dissect_ipv4.isra.0
     0.90%  snf-capture  [kernel.kallsyms]                               [k] srso_alias_safe_ret
     0.88%  snf-capture  libc.so.6                                       [.] 0x0000000000162b86
     0.82%  snf-capture  libc.so.6                                       [.] 0x000000000005a2f3
     0.80%  snf-capture  snuffles                                        [.] dissect_udp.isra.0
     0.78%  snf-capture  [kernel.kallsyms]                               [k] __memset
     0.75%  snf-capture  snuffles                                        [.] capture_callback
     0.73%  snf-capture  libc.so.6                                       [.] 0x0000000000162b75
     0.73%  snf-capture  [kernel.kallsyms]                               [k] __d_lookup
     0.69%  snf-capture  libc.so.6                                       [.] 0x0000000000062971
     0.67%  snf-capture  [kernel.kallsyms]                               [k] dput
     0.66%  snf-capture  libc.so.6                                       [.] 0x0000000000164f41
     0.64%  snf-capture  libc.so.6                                       [.] 0x0000000000162b7f
     0.64%  snf-capture  [kernel.kallsyms]                               [k] kernfs_dop_revalidate
     0.63%  snf-capture  libc.so.6                                       [.] 0x000000000005a2c4
     0.62%  snf-capture  [kernel.kallsyms]                               [k] link_path_walk.part.0.constprop.0
     0.60%  snf-capture  libc.so.6                                       [.] 0x0000000000062f24
     0.60%  snf-capture  libc.so.6                                       [.] 0x000000000005a355
     0.60%  snf-capture  libc.so.6                                       [.] 0x0000000000162b94
     0.57%  snf-capture  libc.so.6                                       [.] memcpy@plt
     0.54%  snf-capture  libc.so.6                                       [.] 0x0000000000162b70
     0.53%  snf-capture  [kernel.kallsyms]                               [k] step_into
     0.51%  snf-capture  libc.so.6                                       [.] 0x000000000005a2f8
     0.50%  snf-capture  libc.so.6                                       [.] 0x000000000005a30f
     0.49%  snf-capture  libc.so.6                                       [.] 0x000000000005a350
     0.49%  snf-capture  libc.so.6                                       [.] 0x00000000000626f9
     0.48%  snf-capture  libc.so.6                                       [.] 0x0000000000162b43
     0.48%  snf-capture  libc.so.6                                       [.] 0x000000000005a2fd
     0.46%  snf-capture  libc.so.6                                       [.] strchrnul@plt
     0.45%  snf-capture  libc.so.6                                       [.] 0x0000000000162b7a
     0.45%  snf-capture  libc.so.6                                       [.] 0x000000000005a305
