# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:P'
# Event count (approx.): 19341069663
#
# Overhead  Command      Shared Object                                   Symbol                                            
# ........  ...........  ..............................................  ..................................................
#
    10.33%  snf-capture  [kernel.kallsyms]                               [k] entry_SYSRETQ_unsafe_stack
            |          
             --0.59%--0x7fab9c9df355

     6.15%  snf-capture  snuffles                                        [.] dissect_packet
            |          
             --0.65%--entry_SYSRETQ_unsafe_stack
                       0x7fab9ca1f9ee
                       capture_callback
                       0x7fab9cc72527

     1.50%  snf-capture  [kernel.kallsyms]                               [k] vfs_write
     1.44%  snf-capture  [kernel.kallsyms]                               [k] pipe_write
     1.33%  snf-capture  snuffles                                        [.] session_table_update
     1.18%  snf-capture  [kernel.kallsyms]                               [k] srso_alias_return_thunk
     1.14%  snf-capture  [kernel.kallsyms]                               [k] srso_alias_safe_ret
     1.11%  snf-capture  [kernel.kallsyms]                               [k] ksys_write
     1.11%  snf-capture  [kernel.kallsyms]                               [k] do_syscall_64
     1.02%  snf-capture  [kernel.kallsyms]                               [k] fdget_pos
     1.01%  snf-capture  [kernel.kallsyms]                               [k] aa_file_perm
     0.94%  snf-capture  [kernel.kallsyms]                               [k] srso_alias_untrain_ret
     0.85%  snf-capture  libc.so.6                                       [.] snprintf
     0.83%  snf-capture  snuffles                                        [.] ringbuf_producer_commit
     0.81%  snf-capture  libc.so.6                                       [.] 0x000000000009a9ee
     0.81%  snf-capture  snuffles                                        [.] key_hash
     0.80%  snf-capture  snuffles                                        [.] capture_callback
     0.79%  snf-capture  [kernel.kallsyms]                               [k] security_file_permission
     0.79%  snf-capture  libc.so.6                                       [.] 0x000000000005a2f3
     0.78%  snf-capture  snuffles                                        [.] dissect_ipv4.isra.0
     0.74%  snf-capture  [kernel.kallsyms]                               [k] syscall_exit_to_user_mode
     0.67%  snf-capture  [kernel.kallsyms]                               [k] entry_SYSCALL_64_after_hwframe
