name,build,mode,traffic_kind,pkt_size,status,sent_pps,sent_total,captured_total,captured_pps,kdrop_total,kdrop_pct,ifdrop,missed,emitted,syslog_sent,syslog_fail,syslog_delivered,streamed,sessions_final,loss_pct_total,rss_max_kb,cpu_capture_pct,cpu_main_pct,cpu_stats_pct,ctxsw_per_s,syscalls_per_pkt,ipc,exit_latency_ms,exit_code,killed,softnet_dropped_delta,softnet_squeezed_delta,br0_rx_pkts_delta,packet_socket_drops,window_secs,telemetry_samples_win,offered_pps_win,captured_win,kdrop_win,kdrop_pct_win,cpu_total_pct,perf_cpus_utilized,perf_stat_secs,perf_stat_window_pkts,perf_syscalls,perf_syscalls_write,perf_syscalls_getsockopt,perf_ctxsw_per_s,sent_datagrams,frames_per_datagram,bridge_in_pkts_total,br0_rx_pkts_total,gens_in_pkts_total,gens_out_pkts_total,sink_in_pkts_total,sink_out_pkts_total,veth_dropped_total,seen_pct,sent_vs_bridge_pct,syslog_delivery_pct,syslog_rcvbuf_errors,syslog_in_errors,host_loadavg1_max,kdrop_source
A1-pktgen64-1cpu,pcap,quiet,pktgen,64,ok,215817,3064656,3064656,215882.7,0,0.0,0,0,0,0,0,,0,1,0.0,647432,40.91,0.0,0.0,137.8,,,529,0,False,0,0,2590735,0,13.475,13,215882.7,2808850,0,0.0,40.91,,,,,,,,,,3064656,3064656,3064656,9193968,3064656,0,0,100.0,100.0,,,,15.29,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
A2-pktgen64-8cpu-max,pcap,quiet,pktgen,64,ok,1392977,26220567,8065771,352118.0,18154796,69.2388,0,0,0,0,0,,0,4,69.2388,647516,93.39,0.0,0.0,439.5,1.01024,1.12,338,0,False,0,0,25481712,0,22.558,23,1170469.8,7755047,18023380,69.9165,93.43,0.977,4.004382011,,1424449,1402534,21915,263.0,,,26220567,26220567,26220567,78661701,26220567,0,0,100.0,100.0,,,,14.94,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
A9-raw-pktgen64-8cpu-max,raw,quiet,pktgen,64,ok,1390735,25301196,7812968,356237.8,17488228,69.1202,0,0,0,0,0,,0,4,69.1202,642860,98.69,0.0,0.0,6683.4,1.82013,1.134,293,0,False,0,0,24159534,17488228,21.596,22,1169533.4,7488475,17096286,69.5402,98.74,0.999,4.003875613,,2596104,1297895,317,35.2,,,25301196,25301196,25301196,75903588,25301196,0,0,100.0,100.0,,,,12.21,PACKET_STATISTICS tp_drops (== ss sk_drops)
B3-syslog-1m,pcap,syslog,pktgen,64,ok,999929,18151829,3339388,150974.6,14812441,81.603,0,0,0,3339388,0,3339388,0,0,81.603,4968,99.86,0.0,0.0,58.7,1.95268,0.953,388,0,False,0,0,17566831,0,21.537,22,841750.6,3173789,14521493,82.0642,99.95,0.999,4.001129303,,1179552,585207,9143,50.7,,,18151829,18151829,18151829,54455487,18151829,0,0,100.0,100.0,100.0,0,0,11.22,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
B6-tui-1m,pcap,tui,pktgen,64,ok,999930,18193595,8502174,390484.6,9691421,53.2683,0,0,0,0,0,,0,4,53.2683,647492,95.89,93.46,0.0,396.2,0.99297,1.544,384,0,False,0,0,17465467,0,21.551,22,841709.7,8209157,9486105,53.6082,189.35,1.968,4.001587407,,1551571,1528500,23071,172.2,,,18193595,18193595,18193595,54580785,18193595,0,0,100.0,100.0,,,,9.94,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
B7-tuisessions-flows1m,pcap,tui-sessions,pktgen,64,ok,999918,18140854,2475664,109490.4,15665190,86.3531,0,0,0,0,0,,0,100000,86.3531,697096,62.63,95.06,0.0,14564.7,,,501,0,False,0,0,17602685,0,21.518,22,841985.9,2304773,15419030,86.9962,157.69,,,,,,,,,,18140854,18140854,18140854,54422562,18140854,0,0,100.0,100.0,,,,8.92,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
B8-headlesspipe-1m,pcap,headless-pipe,pktgen,64,ok,999927,18086649,8993194,415376.6,9093455,50.2772,0,195678,8797516,0,0,,0,4,50.2772,647684,95.7,92.71,0.0,2999.4,,,465,0,False,0,0,17627571,0,21.457,22,841427.8,8733292,8957728,50.6343,188.36,,,,,,,,,,18086649,18086649,18086649,54259947,18086649,0,0,100.0,100.0,,,,8.82,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
C1-http-keepalive,pcap,quiet,http,64,ok,,,2491811,207195.7,3441,0.1379,0,0,0,0,0,,0,1028,,663988,47.92,0.0,0.0,288.6,1.00665,1.688,822,0,False,0,0,2278560,0,12.1,12,207195.7,2281225,0,0.0,47.82,0.481,4.001354494,,834573,820396,13086,284.9,,,2495252,2495252,1248976,1246288,1248976,1246276,0,100.0,,,,,8.36,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
C4-iperf-tcp,pcap,quiet,iperf,64,ok,,,1224549,102772.7,169059,12.131,0,0,0,0,0,,0,36,,649004,98.24,0.0,0.0,372.2,0.98528,0.505,754,0,False,0,0,1149020,0,11.135,11,115124.3,1028960,123664,10.7289,98.24,0.993,4.003095196,,405351,395924,8475,244.3,,,1393608,1393608,1028584,365024,1028584,365024,0,100.0,,,,,7.85,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
C5-replay-quiet,pcap,quiet,replay,64,ok,909690.2,10754300,5976067,512459.7,5004094,45.574,0,0,0,0,0,,0,8775,44.4309,652340,99.97,0.0,0.0,23.3,,,958,0,False,0,0,10206027,0,12.059,12,927595.2,5641669,4570227,44.754,99.88,,,,,,,,,,10980161,10980161,10980115,9892679,108,46,0,100.0,97.943,,,,6.53,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
